,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS,datetime,Hourly_Entries,Hourly_Exits
122351,PTH22,R540,00-04-05,PATH NEW WTC,1,PTH,03/31/2018,00:07:07,REGULAR,45963,195664,2018-03-31 00:07:07,36363.0,23588.0
64023,N128,R200,00-00-00,EUCLID AV,AC,IND,03/31/2018,00:00:00,REGULAR,309069,90019,2018-03-31 00:00:00,91774.0,21030.0
117331,PTH16,R550,01-01-00,LACKAWANNA,1,PTH,04/05/2018,11:45:58,REGULAR,37642,21218,2018-04-05 11:45:58,36662.0,20714.0
109965,N702A,R572,01-03-02,96 ST-2 AVE,Q,IND,03/31/2018,01:00:00,REGULAR,199562,205135,2018-03-31 01:00:00,65973.0,19561.0
111927,PTH03,R552,00-01-04,JOURNAL SQUARE,1,PTH,03/31/2018,02:47:42,REGULAR,90972,60456,2018-03-31 02:47:42,54444.0,17606.0
120685,PTH20,R549,03-01-09,NEWARK HM HE,1,PTH,03/31/2018,00:26:43,REGULAR,167,30055,2018-03-31 00:26:43,61.0,17043.0
121166,PTH22,R540,00-00-06,PATH NEW WTC,1,PTH,03/31/2018,01:35:32,REGULAR,93134,51111,2018-03-31 01:35:32,43015.0,16152.0
110930,PTH02,R544,00-00-03,HARRISON,1,PTH,03/31/2018,01:01:29,REGULAR,190768,30739,2018-03-31 01:01:29,58650.0,15068.0
117340,PTH16,R550,01-01-01,LACKAWANNA,1,PTH,03/31/2018,01:11:00,REGULAR,81823,35438,2018-03-31 01:11:00,44048.0,14066.0
115431,PTH09,R548,00-00-01,CHRISTOPHER ST,1,PTH,03/31/2018,00:25:25,REGULAR,112749,100223,2018-03-31 00:25:25,43839.0,14042.0
117259,PTH16,R550,01-00-08,LACKAWANNA,1,PTH,03/31/2018,01:05:19,REGULAR,44774,20376,2018-03-31 01:05:19,32601.0,13991.0
57278,N094,R029,01-06-00,WORLD TRADE CTR,ACE23,IND,03/31/2018,00:00:00,REGULAR,65717,13798,2018-03-31 00:00:00,65717.0,13243.0
112047,PTH03,R552,00-01-07,JOURNAL SQUARE,1,PTH,03/31/2018,01:20:08,REGULAR,168290,33419,2018-03-31 01:20:08,63604.0,12591.0
57362,N094,R029,01-06-02,WORLD TRADE CTR,ACE23,IND,03/31/2018,00:00:00,REGULAR,131833,34480,2018-03-31 00:00:00,31637.0,12441.0
112007,PTH03,R552,00-01-06,JOURNAL SQUARE,1,PTH,03/31/2018,01:12:21,REGULAR,102323,20430,2018-03-31 01:12:21,69633.0,9681.0
6221,A041,R086,00-00-02,PRINCE ST,NRW,BMT,03/31/2018,00:00:00,REGULAR,12914502,3516095,2018-03-31 00:00:00,46135.0,8605.0
119727,PTH19,R549,02-01-06,NEWARK C,1,PTH,03/31/2018,00:36:10,REGULAR,122007,12098,2018-03-31 00:36:10,43819.0,6004.0
57320,N094,R029,01-06-01,WORLD TRADE CTR,ACE23,IND,03/31/2018,00:00:00,REGULAR,93322,20560,2018-03-31 00:00:00,22877.0,5636.0
88289,N400A,R359,02-03-05,COURT SQ,EMG,IND,03/31/2018,00:00:00,REGULAR,49748,42196,2018-03-31 00:00:00,15616.0,5386.0
113087,PTH05,R543,00-00-02,EXCHANGE PLACE,1,PTH,03/31/2018,00:46:09,REGULAR,49491,6902,2018-03-31 00:46:09,14057.0,5311.0
